show_place,show_name,show_time,show_price
【枣庄】,2022青鱼音乐节·枣庄,2022.05.20-05.21,"
            199-728
            "
【临沂】,2022临沂琅琊音乐节,2022.04.16-04.17,"
            180-598
            "
【海口】,郝蕾、马天宇领衔主演舞台剧《寄生虫》,2022.04.02-04.03,"
            80-680
            "
【北京】,舞剧《朱鹮》,2022.05.06-05.08,"
            180-880
            "
【上海】,外百老汇悬疑音乐剧《危险游戏》中文版,2022.06.23-07.03,"
            180-580
            "
【北京】,染空间制造 原创音乐剧《人间失格》,2022.04.27-05.02,"
            280-1280
            "
【上海】,原创音乐剧《赵氏孤儿》,2022.04.29-05.08,"
            80-1080
            "
【北京】,开心麻花|爆笑单口喜剧《麻花脱口秀》,2022.03.25-03.27,"
            80-198
            "
【商丘】,2022商部落音乐节,2022.04.09-04.10,"
            338
            "
【北京】,“莫奈与他的朋友们” 沉浸式光影大展 全球巡回中国首展,2022.04.01-06.05,"
            99-330
            "
【北京】,李响原创舞台剧 《影·响》,2022.06.09-06.12,"
            180-880
            "
【北京】,王晰“图景”个人巡回音乐会-北京站,2022.04.09,"
            480-1280
            "
【广州】,环境式驻演音乐剧《阿波罗尼亚》,2022.03.23-03.31,"
            180-380
            "
【北京】,开心麻花2021情怀年底大戏《七平米》,2022.03.23-05.04,"
            80-1080
            "
【北京】,开心麻花首部悬疑惊悚喜剧《醉后赢家》,2022.04.14-04.17,"
            80-1080
            "
【北京】,「虚无美术馆」——高杨GYON个人音乐会,2022.03.26,"
            180-1080
            "
【长沙】,弹壳 2022BOMBSHELL全国巡演-长沙站,2023.01.01,"
            258-488
            "
【上海】,舞剧《永不消逝的电波》,2022.04.06-04.17,"
            180-880
            "
【北京】,开心麻花王牌爆笑大戏《乌龙山伯爵》,2022.04.03-05.04,"
            80-1080
            "
【哈尔滨】,【延期】开心麻花经典爆笑舞台剧《乌龙山伯爵》,2022.05.06,"
            100-880
            "
【温州】,楠溪江·星巢秘境音乐节ROCKTOWN,2022.04.16-04.17,"
            788-2280
            "
【青岛】,舞蹈诗剧《只此青绿》——舞绘《千里江山图》,2022.08.04-08.07,"
            180-880
            "
【上海】,音乐剧《堕落天使》中文版,2022.05.13-05.22,"
            180-580
            "
【南京】,开心麻花经典爆笑舞台剧《乌龙山伯爵》,2022.04.03-04.05,"
            80-880
            "
【广州】,白举纲刘令飞领衔主演 中文原创音乐剧《人间失格》,2022.06.23-06.26,"
            180-1180
            "
【北京】,2022第六届天桥·华人春天艺术节话剧《皮囊》,2022.04.13-04.17,"
            180-880
            "
【南京】,2022南京音乐剧节·原创音乐剧《赵氏孤儿》,2022.05.27-05.29,"
            180-1080
            "
【成都】,【预订】元气森林音乐节 成都站,2022.05.02-05.03,"
            588-888
            "
【合肥】,开心麻花经典爆笑舞台剧《乌龙山伯爵》,2022.04.22-04.23,"
            80-880
            "
【北京】,开心麻花经典爆笑大戏《贼想得到你》,2022.04.08-04.23,"
            80-1080
            "
